iter	MultiClass
0	2.441318604
1	2.297275336
2	2.195387247
3	2.102381974
4	2.024217514
5	1.961211171
6	1.904890709
7	1.857251008
8	1.815203813
9	1.777949022
10	1.735187788
11	1.700378042
12	1.667594685
13	1.642490345
14	1.616584959
15	1.589175799
16	1.561645135
17	1.541732791
18	1.523200421
19	1.504764812
20	1.488373839
21	1.471972199
22	1.455656011
23	1.439209644
24	1.425251575
25	1.411003409
26	1.398246997
27	1.386460385
28	1.37375781
29	1.362446224
30	1.352200305
31	1.341629741
32	1.332551505
33	1.32457209
34	1.315732743
35	1.307308345
36	1.299246491
37	1.292084383
38	1.283904301
39	1.277680341
40	1.271305111
41	1.265213006
42	1.257242499
43	1.249686171
44	1.242111325
45	1.234354116
46	1.227651052
47	1.222399049
48	1.21744753
49	1.213286793
50	1.20921052
51	1.204175729
52	1.199456311
53	1.192988177
54	1.188445924
55	1.183212466
56	1.179512992
57	1.174488036
58	1.170285048
59	1.166473498
60	1.163167706
61	1.159366863
62	1.155559003
63	1.152254054
64	1.148001468
65	1.142823808
66	1.136824371
67	1.133458913
68	1.130772871
69	1.126660843
70	1.123906722
71	1.119721272
72	1.116804734
73	1.114082086
74	1.111314311
75	1.107032408
76	1.104208888
77	1.100615978
78	1.097540414
79	1.093730123
80	1.091140085
81	1.088569708
82	1.086523624
83	1.082948608
84	1.079665624
85	1.077313573
86	1.074598424
87	1.072031466
88	1.068344029
89	1.066087992
90	1.06428666
91	1.061575476
92	1.058951737
93	1.056514629
94	1.054549041
95	1.052389386
96	1.049726222
97	1.047300038
98	1.044957366
99	1.042985053
100	1.040933448
101	1.039243062
102	1.037025083
103	1.035006584
104	1.032849528
105	1.030325407
106	1.028631248
107	1.027009576
108	1.024942996
109	1.023177589
110	1.021633346
111	1.01827053
112	1.015890447
113	1.014464416
114	1.012379126
115	1.010435824
116	1.009052789
117	1.007471615
118	1.006057966
119	1.003860076
120	1.002692764
121	0.9999625623
122	0.9987446293
123	0.9970745376
124	0.9950299945
125	0.9931960718
126	0.9915800431
127	0.9895240002
128	0.988190924
129	0.986828298
130	0.9852764342
131	0.9839476514
132	0.9820490191
133	0.9797332571
134	0.9778088084
135	0.9761070247
136	0.9745796297
137	0.973560531
138	0.9713025703
139	0.9687112984
140	0.9668699229
141	0.9649909717
142	0.9616015713
143	0.9601248933
144	0.9568713081
145	0.9557572045
146	0.9544486348
147	0.9535469918
148	0.9522256593
